,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
470,4 square 0,"(859, 859)",0,1475762,7.37881,23.068672,0.00022456815000623464(0.0)
471,4 square 1,"(859, 859)",0,1475762,7.37881,23.068672,0.00020226872060447932(0.0)
472,4 square 0,"(871, 871)",0,1517282,7.58641,23.068672,0.0002238485892303288(0.0)
473,4 square 1,"(871, 871)",0,1517282,7.58641,23.068672,0.00020550183020532132(0.0)
474,4 square 0,"(882, 882)",0,1555848,7.77924,23.068672,0.00022440633969381452(0.0)
475,4 square 1,"(882, 882)",0,1555848,7.77924,23.068672,0.00021105342078953982(0.0)
476,4 square 0,"(893, 893)",0,1594898,7.97449,23.068672,0.00022695174906402826(0.0)
477,4 square 1,"(893, 893)",0,1594898,7.97449,23.068672,0.0002149907499551773(0.0)
478,4 square 0,"(904, 904)",0,1634432,8.17216,23.068672,0.00022933013970032333(0.0)
479,4 square 1,"(904, 904)",0,1634432,8.17216,23.068672,0.00021650020964443682(0.0)
480,4 square 0,"(915, 915)",0,1674450,8.37225,23.068672,0.0002363148401491344(0.0)
481,4 square 1,"(915, 915)",0,1674450,8.37225,23.068672,0.0002222174103371799(0.0)
482,4 square 0,"(926, 926)",0,1714952,8.57476,23.068672,0.0002412946498952806(0.0)
483,4 square 1,"(926, 926)",0,1714952,8.57476,23.068672,0.00022802346851676702(0.0)
484,4 square 0,"(936, 936)",0,1752192,8.76096,23.068672,0.00024411346996203065(0.0)
485,4 square 1,"(936, 936)",0,1752192,8.76096,23.068672,0.0002322218078188598(0.0)
486,4 square 0,"(947, 947)",0,1793618,8.96809,23.068672,0.0002453742595389485(0.0)
487,4 square 1,"(947, 947)",0,1793618,8.96809,23.068672,0.0002376558817923069(0.0)
488,4 square 0,"(957, 957)",0,1831698,9.15849,23.068672,0.00024956877809017896(0.0)
489,4 square 1,"(957, 957)",0,1831698,9.15849,23.068672,0.00023963310988619923(0.0)
490,4 square 0,"(967, 967)",0,1870178,9.35089,23.068672,0.0002506862999871373(0.0)
491,4 square 1,"(967, 967)",0,1870178,9.35089,23.068672,0.00024044703925028444(0.0)
492,4 square 0,"(977, 977)",0,1909058,9.54529,23.068672,0.00025032940786331895(0.0)
493,4 square 1,"(977, 977)",0,1909058,9.54529,23.068672,0.00024457945954054595(0.0)
494,4 square 0,"(987, 987)",0,1948338,9.74169,23.068672,0.0002511116000823677(0.0)
