,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
186,1 square 0,"(6508, 6508)",0,84708128,423.54064,729.808896,0.012542038889951073(0.0)
187,1 square 1,"(6508, 6508)",0,84708128,423.54064,729.808896,0.007158520829980261(0.0)
188,1 square 0,"(6542, 6542)",0,85595528,427.97764,734.0032,0.012713007949932943(0.0)
189,1 square 1,"(6542, 6542)",0,85595528,427.97764,734.0032,0.007231736480025575(0.0)
190,1 square 0,"(6575, 6575)",0,86461250,432.30625,744.48896,0.012890382909972686(0.0)
191,1 square 1,"(6575, 6575)",0,86461250,432.30625,744.48896,0.007315692990086973(0.0)
192,1 square 0,"(6609, 6609)",0,87357762,436.78881,748.683264,0.013062455170002067(0.0)
193,1 square 1,"(6609, 6609)",0,87357762,436.78881,748.683264,0.007385224189929432(0.0)
194,1 square 0,"(6642, 6642)",0,88232328,441.16164,763.363328,0.01324123808008153(0.0)
195,1 square 1,"(6642, 6642)",0,88232328,441.16164,763.363328,0.007464578220096882(0.0)
196,1 square 0,"(6675, 6675)",0,89111250,445.55625,765.46048,0.013432581199886044(0.0)
197,1 square 1,"(6675, 6675)",0,89111250,445.55625,765.46048,0.007538340109895216(0.0)
198,1 square 0,"(6708, 6708)",0,89994528,449.97264,769.654784,0.01360193493994302(0.0)
199,1 square 1,"(6708, 6708)",0,89994528,449.97264,769.654784,0.007616126089997124(0.0)
200,2 square 0,"(1224, 1224)",0,2996352,14.98176,44.040192,0.0003428255899052601(0.0)
201,2 square 1,"(1224, 1224)",0,2996352,14.98176,44.040192,0.00025832304992945865(0.0)
202,2 square 0,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00039114145998610185(0.0)
203,2 square 1,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00032181765986024404(0.0)
204,2 square 0,"(1542, 1542)",0,4755528,23.77764,44.040192,0.000432587980030803(0.0)
205,2 square 1,"(1542, 1542)",0,4755528,23.77764,44.040192,0.0004931058800138998(0.0)
206,2 square 0,"(1678, 1678)",0,5631368,28.15684,46.137344,0.0005999034999695141(0.0)
207,2 square 1,"(1678, 1678)",0,5631368,28.15684,46.137344,0.000613856520067202(0.0)
208,2 square 0,"(1804, 1804)",0,6508832,32.54416,71.303168,0.0005412029300350695(0.0)
209,2 square 1,"(1804, 1804)",0,6508832,32.54416,71.303168,0.0005518365900206845(0.0)
210,2 square 0,"(1922, 1922)",0,7388168,36.94084,75.497472,0.0005891790600435343(0.0)
211,2 square 1,"(1922, 1922)",0,7388168,36.94084,75.497472,0.0006289332700544037(0.0)
212,2 square 0,"(2033, 2033)",0,8266178,41.33089,77.594624,0.0006317756300268229(0.0)
213,2 square 1,"(2033, 2033)",0,8266178,41.33089,77.594624,0.0007007391600927803(0.0)
214,2 square 0,"(2139, 2139)",0,9150642,45.75321,81.788928,0.0006756837898865342(0.0)
215,2 square 1,"(2139, 2139)",0,9150642,45.75321,81.788928,0.000781487729982473(0.0)
216,2 square 0,"(2239, 2239)",0,10026242,50.13121,85.983232,0.0007273750299646054(0.0)
217,2 square 1,"(2239, 2239)",0,10026242,50.13121,85.983232,0.0008686601399676874(0.0)
218,2 square 0,"(2335, 2335)",0,10904450,54.52225,100.663296,0.0007681363399024122(0.0)
219,2 square 1,"(2335, 2335)",0,10904450,54.52225,100.663296,0.000932218169909902(0.0)
220,2 square 0,"(2427, 2427)",0,11780658,58.90329,104.8576,0.0008133959500992205(0.0)
221,2 square 1,"(2427, 2427)",0,11780658,58.90329,104.8576,0.0010082692600553854(0.0)
222,2 square 0,"(2516, 2516)",0,12660512,63.30256,111.149056,0.0008538401700207033(0.0)
223,2 square 1,"(2516, 2516)",0,12660512,63.30256,111.149056,0.00108807908007293(0.0)
224,2 square 0,"(2602, 2602)",0,13540808,67.70404,113.246208,0.000900065989990253(0.0)
225,2 square 1,"(2602, 2602)",0,13540808,67.70404,113.246208,0.0011694777799129952(0.0)
226,2 square 0,"(2685, 2685)",0,14418450,72.09225,111.149056,0.0009405010000045877(0.0)
227,2 square 1,"(2685, 2685)",0,14418450,72.09225,111.149056,0.0012445628599380143(0.0)
228,2 square 0,"(2766, 2766)",0,15301512,76.50756,119.537664,0.000985433479945641(0.0)
229,2 square 1,"(2766, 2766)",0,15301512,76.50756,119.537664,0.0013304505198902916(0.0)
230,2 square 0,"(2844, 2844)",0,16176672,80.88336,121.634816,0.0010333623200131114(0.0)
231,2 square 1,"(2844, 2844)",0,16176672,80.88336,121.634816,0.0014157100999727845(0.0)
232,2 square 0,"(2920, 2920)",0,17052800,85.264,150.994944,0.0010705453000264243(0.0)
233,2 square 1,"(2920, 2920)",0,17052800,85.264,150.994944,0.0014869949300191365(0.0)
234,2 square 0,"(2994, 2994)",0,17928072,89.64036,155.189248,0.0011186351400101558(0.0)
235,2 square 1,"(2994, 2994)",0,17928072,89.64036,155.189248,0.0015687468000396621(0.0)
236,2 square 0,"(3067, 3067)",0,18812978,94.06489,157.2864,0.0011563044300419278(0.0)
237,2 square 1,"(3067, 3067)",0,18812978,94.06489,157.2864,0.0016525053499208298(0.0)
238,2 square 0,"(3138, 3138)",0,19694088,98.47044,165.675008,0.001205063529923791(0.0)
239,2 square 1,"(3138, 3138)",0,19694088,98.47044,165.675008,0.0017344638099893927(0.0)
240,2 square 0,"(3207, 3207)",0,20569698,102.84849,169.869312,0.0012453088800248224(0.0)
241,2 square 1,"(3207, 3207)",0,20569698,102.84849,169.869312,0.0018168481699831318(0.0)
242,2 square 0,"(3275, 3275)",0,21451250,107.25625,180.355072,0.001289216830045916(0.0)
243,2 square 1,"(3275, 3275)",0,21451250,107.25625,180.355072,0.0019027921400265769(0.0)
244,2 square 0,"(3341, 3341)",0,22324562,111.62281,184.549376,0.0013331388200458604(0.0)
245,2 square 1,"(3341, 3341)",0,22324562,111.62281,184.549376,0.0019840191199909894(0.0)
246,2 square 0,"(3406, 3406)",0,23201672,116.00836,192.937984,0.0013764673900732306(0.0)
247,2 square 1,"(3406, 3406)",0,23201672,116.00836,192.937984,0.0020713568299834152(0.0)
248,2 square 0,"(3470, 3470)",0,24081800,120.409,195.035136,0.0014232762200117577(0.0)
249,2 square 1,"(3470, 3470)",0,24081800,120.409,195.035136,0.0021534738900663795(0.0)
250,2 square 0,"(3533, 3533)",0,24964178,124.82089,199.22944,0.0014615590599714777(0.0)
251,2 square 1,"(3533, 3533)",0,24964178,124.82089,199.22944,0.0022388314599811566(0.0)
252,2 square 0,"(3595, 3595)",0,25848050,129.24025,211.812352,0.0015059521301009227(0.0)
253,2 square 1,"(3595, 3595)",0,25848050,129.24025,211.812352,0.0023255845700623466(0.0)
254,2 square 0,"(3655, 3655)",0,26718050,133.59025,213.909504,0.0015516891500737984(0.0)
255,2 square 1,"(3655, 3655)",0,26718050,133.59025,213.909504,0.002405937709991122(0.0)
256,2 square 0,"(3715, 3715)",0,27602450,138.01225,222.298112,0.001596751679899171(0.0)
257,2 square 1,"(3715, 3715)",0,27602450,138.01225,222.298112,0.0024957322599948382(0.0)
258,2 square 0,"(3773, 3773)",0,28471058,142.35529,226.492416,0.0016414322999480646(0.0)
259,2 square 1,"(3773, 3773)",0,28471058,142.35529,226.492416,0.0025824590300908314(0.0)
260,2 square 0,"(3831, 3831)",0,29353122,146.76561,228.589568,0.0016832450999936554(0.0)
261,2 square 1,"(3831, 3831)",0,29353122,146.76561,228.589568,0.0026680503399984447(0.0)
262,2 square 0,"(3888, 3888)",0,30233088,151.16544,241.17248,0.001729163139971206(0.0)
263,2 square 1,"(3888, 3888)",0,30233088,151.16544,241.17248,0.0027586157398764044(0.0)
264,2 square 0,"(3944, 3944)",0,31110272,155.55136,245.366784,0.0017721859400626273(0.0)
265,2 square 1,"(3944, 3944)",0,31110272,155.55136,245.366784,0.00284268538991455(0.0)
266,2 square 0,"(4000, 4000)",0,32000000,160.0,253.755392,0.00182108232009341(0.0)
267,2 square 1,"(4000, 4000)",0,32000000,160.0,253.755392,0.0029296205499849746(0.0)
268,2 square 0,"(4054, 4054)",0,32869832,164.34916,255.852544,0.0018650794499262702(0.0)
269,2 square 1,"(4054, 4054)",0,32869832,164.34916,255.852544,0.0030230196999036707(0.0)
