,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
720,8 square 0,"(1109, 1109)",0,2459762,12.29881,23.068672,0.00041034481022506953(0.0),0.00035956382984295485(0.0)
721,8 square 1,"(1109, 1109)",0,2459762,12.29881,23.068672,0.0002033775090239942(0.0),0.00013260575011372566(0.0)
722,8 square 0,"(1118, 1118)",0,2499848,12.49924,23.068672,0.0004057961306534708(0.0),0.00036919523030519484(0.0)
723,8 square 1,"(1118, 1118)",0,2499848,12.49924,23.068672,0.00020803370978683233(0.0),0.00013654037844389676(0.0)
724,8 square 0,"(1127, 1127)",0,2540258,12.70129,23.068672,0.00041037288028746846(0.0),0.00037218739045783876(0.0)
725,8 square 1,"(1127, 1127)",0,2540258,12.70129,23.068672,0.00020699565066024662(0.0),0.00013634762028232216(0.0)
726,8 square 0,"(1136, 1136)",0,2580992,12.90496,23.068672,0.00041498068952932954(0.0),0.0003714449005201459(0.0)
727,8 square 1,"(1136, 1136)",0,2580992,12.90496,23.068672,0.000212280850391835(0.0),0.00013607400935143233(0.0)
728,8 square 0,"(1144, 1144)",0,2617472,13.08736,23.068672,0.0004210633807815611(0.0),0.00038312548073008655(0.0)
729,8 square 1,"(1144, 1144)",0,2617472,13.08736,23.068672,0.00021663157036527992(0.0),0.00014613151084631683(0.0)
730,8 square 0,"(1153, 1153)",0,2658818,13.29409,23.068672,0.0004181338404305279(0.0),0.00037603596923872827(0.0)
731,8 square 1,"(1153, 1153)",0,2658818,13.29409,23.068672,0.00021523853996768594(0.0),0.0001490590488538146(0.0)
732,8 square 0,"(1161, 1161)",0,2695842,13.47921,23.068672,0.00042058567982167005(0.0),0.0003699177107773721(0.0)
733,8 square 1,"(1161, 1161)",0,2695842,13.47921,23.068672,0.0002199199888855219(0.0),0.0001518989191390574(0.0)
734,8 square 0,"(1170, 1170)",0,2737800,13.689,23.068672,0.0004175622691400349(0.0),0.00038006819086149334(0.0)
735,8 square 1,"(1170, 1170)",0,2737800,13.689,23.068672,0.00021772072883322836(0.0),0.00015450192848220467(0.0)
736,8 square 0,"(1178, 1178)",0,2775368,13.87684,23.068672,0.00041639406001195314(0.0),0.0003998429700732231(0.0)
737,8 square 1,"(1178, 1178)",0,2775368,13.87684,23.068672,0.0002207131893374026(0.0),0.00015882881125435234(0.0)
738,8 square 0,"(1187, 1187)",0,2817938,14.08969,23.068672,0.000412852861918509(0.0),0.000399562839884311(0.0)
739,8 square 1,"(1187, 1187)",0,2817938,14.08969,23.068672,0.00022144947201013565(0.0),0.00015623321058228613(0.0)
740,8 square 0,"(1195, 1195)",0,2856050,14.28025,23.068672,0.00041327366139739754(0.0),0.00038447272032499314(0.0)
741,8 square 1,"(1195, 1195)",0,2856050,14.28025,23.068672,0.00022523051826283335(0.0),0.00015846331836655736(0.0)
742,8 square 0,"(1203, 1203)",0,2894418,14.47209,23.068672,0.00040696945041418075(0.0),0.0003630705690011382(0.0)
743,8 square 1,"(1203, 1203)",0,2894418,14.47209,23.068672,0.00022330398904159664(0.0),0.0001607203995808959(0.0)
744,8 square 0,"(1211, 1211)",0,2933042,14.66521,23.068672,0.0004110953398048878(0.0),0.00036573311081156135(0.0)
745,8 square 1,"(1211, 1211)",0,2933042,14.66521,23.068672,0.00022595990216359496(0.0),0.00016509365988895297(0.0)
746,8 square 0,"(1219, 1219)",0,2971922,14.85961,23.068672,0.000403703770134598(0.0),0.0004028574703261256(0.0)
747,8 square 1,"(1219, 1219)",0,2971922,14.85961,23.068672,0.00022758698090910912(0.0),0.00015736656030640006(0.0)
748,8 square 0,"(1227, 1227)",0,3011058,15.05529,23.068672,0.00040166081162169577(0.0),0.000371884829364717(0.0)
749,8 square 1,"(1227, 1227)",0,3011058,15.05529,23.068672,0.0002269793301820755(0.0),0.00016747144982218743(0.0)
750,8 square 0,"(1235, 1235)",0,3050450,15.25225,23.068672,0.0003980510914698243(0.0),0.000411786250770092(0.0)
751,8 square 1,"(1235, 1235)",0,3050450,15.25225,23.068672,0.00022972251055762173(0.0),0.00016067360062152147(0.0)
752,8 square 0,"(1243, 1243)",0,3090098,15.45049,23.068672,0.00039650466991588475(0.0),0.000349722639657557(0.0)
753,8 square 1,"(1243, 1243)",0,3090098,15.45049,23.068672,0.00023365385131910444(0.0),0.0001653829007409513(0.0)
754,8 square 0,"(1251, 1251)",0,3130002,15.65001,23.068672,0.0003942036209627986(0.0),0.00034781544003635644(0.0)
755,8 square 1,"(1251, 1251)",0,3130002,15.65001,23.068672,0.00023498706985265017(0.0),0.00016558398958295583(0.0)
756,8 square 0,"(1259, 1259)",0,3170162,15.85081,23.068672,0.0003990646102465689(0.0),0.00035923812072724103(0.0)
757,8 square 1,"(1259, 1259)",0,3170162,15.85081,23.068672,0.00023676181910559535(0.0),0.00016860279021784663(0.0)
758,8 square 0,"(1267, 1267)",0,3210578,16.05289,23.068672,0.0003980287397280335(0.0),0.000412771119736135(0.0)
759,8 square 1,"(1267, 1267)",0,3210578,16.05289,23.068672,0.0002374912006780505(0.0),0.00016869676997885108(0.0)
760,8 square 0,"(1275, 1275)",0,3251250,16.25625,23.068672,0.0004016098100692034(0.0),0.0003605090291239321(0.0)
761,8 square 1,"(1275, 1275)",0,3251250,16.25625,23.068672,0.00024223788175731898(0.0),0.00017392634879797697(0.0)
762,8 square 0,"(1282, 1282)",0,3287048,16.43524,23.068672,0.00040916469879448414(0.0),0.00037866645958274604(0.0)
763,8 square 1,"(1282, 1282)",0,3287048,16.43524,23.068672,0.00023882704088464378(0.0),0.00017831154866144062(0.0)
764,8 square 0,"(1290, 1290)",0,3328200,16.641,23.068672,0.0004156502615660429(0.0),0.0003749088500626385(0.0)
765,8 square 1,"(1290, 1290)",0,3328200,16.641,23.068672,0.0002495232503861189(0.0),0.00017403234960511327(0.0)
766,8 square 0,"(1298, 1298)",0,3369608,16.84804,23.068672,0.0004185848101042211(0.0),0.00042308091185986994(0.0)
767,8 square 1,"(1298, 1298)",0,3369608,16.84804,23.068672,0.0002535799192264676(0.0),0.0001891747792251408(0.0)
768,8 square 0,"(1305, 1305)",0,3406050,17.03025,23.068672,0.0004340389184653759(0.0),0.0004100126097910106(0.0)
769,8 square 1,"(1305, 1305)",0,3406050,17.03025,23.068672,0.0002592517388984561(0.0),0.00018520507961511612(0.0)
