,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
482,4 square 0,"(926, 926)",0,1714952,8.57476,23.068672,0.0002407566807232797(0.0)
483,4 square 1,"(926, 926)",0,1714952,8.57476,23.068672,0.0002271217806264758(0.0)
484,4 square 0,"(936, 936)",0,1752192,8.76096,23.068672,0.00024368723854422569(0.0)
485,4 square 1,"(936, 936)",0,1752192,8.76096,23.068672,0.00022788553033024073(0.0)
486,4 square 0,"(947, 947)",0,1793618,8.96809,23.068672,0.0002451976086013019(0.0)
487,4 square 1,"(947, 947)",0,1793618,8.96809,23.068672,0.00023526063887402415(0.0)
488,4 square 0,"(957, 957)",0,1831698,9.15849,23.068672,0.0002490504295565188(0.0)
489,4 square 1,"(957, 957)",0,1831698,9.15849,23.068672,0.00023934748955070973(0.0)
490,4 square 0,"(967, 967)",0,1870178,9.35089,23.068672,0.00025108147878199816(0.0)
491,4 square 1,"(967, 967)",0,1870178,9.35089,23.068672,0.00024102897848933934(0.0)
