,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (fuse) (IQR),GPU clock time (no fuse) (IQR)
159,2; 1; 1,"(12692, 12692)",0,161099556,322.275264,1293.942784,0.018753870958462357(0.0),0.018741504380013794(0.0)
160,2; 0; 1,"(12769, 12769)",0,163060130,326.196874,1633.681408,0.007177701708860696(0.0),0.007173568280413747(0.0)
161,2; 1; 1,"(12769, 12769)",0,163060130,326.196874,1310.72,0.01798781560966745(0.0),0.018024071629624813(0.0)
162,2; 0; 1,"(12845, 12845)",0,165006870,330.09081,1654.652928,0.0072695019422099(0.0),0.007270202359650284(0.0)
163,2; 1; 1,"(12845, 12845)",0,165006870,330.09081,1327.497216,0.018588314480148256(0.0),0.018611745480448007(0.0)
164,2; 0; 1,"(12920, 12920)",0,166939320,333.95616,1675.624448,0.0072158634709194305(0.0),0.007215410540811718(0.0)
165,2; 1; 1,"(12920, 12920)",0,166939320,333.95616,1344.274432,0.021631648160982876(0.0),0.02165527574950829(0.0)
166,2; 0; 1,"(12995, 12995)",0,168883020,337.84401,1696.595968,0.007434427828993648(0.0),0.007434567729942501(0.0)
167,2; 1; 1,"(12995, 12995)",0,168883020,337.84401,1361.051648,0.01992106232093647(0.0),0.01997504519065842(0.0)
168,2; 0; 1,"(13070, 13070)",0,170837970,341.75436,1709.17888,0.007487753259483725(0.0),0.007484817330259829(0.0)
169,2; 1; 1,"(13070, 13070)",0,170837970,341.75436,1369.440256,0.020865113029722125(0.0),0.02087189193116501(0.0)
170,2; 0; 1,"(13144, 13144)",0,172777880,345.634624,1728.053248,0.007481220990885049(0.0),0.007479014941491186(0.0)
171,2; 1; 1,"(13144, 13144)",0,172777880,345.634624,1386.217472,0.02279675702098757(0.0),0.022757202109787614(0.0)
172,2; 0; 1,"(13218, 13218)",0,174728742,349.536792,1749.024768,0.007669340488500893(0.0),0.007668457140680402(0.0)
173,2; 1; 1,"(13218, 13218)",0,174728742,349.536792,1402.994688,0.019447155499365182(0.0),0.019379533759783952(0.0)
174,2; 0; 1,"(13291, 13291)",0,176663972,353.40769,1769.996288,0.007814366950187833(0.0),0.0078118212707340715(0.0)
175,2; 1; 1,"(13291, 13291)",0,176663972,353.40769,1419.771904,0.01944195989985019(0.0),0.019520469228737056(0.0)
176,2; 0; 1,"(13364, 13364)",0,178609860,357.299904,1790.967808,0.00782877657096833(0.0),0.00782363808946684(0.0)
177,2; 1; 1,"(13364, 13364)",0,178609860,357.299904,1436.54912,0.02264407797018066(0.0),0.022670956910587847(0.0)
178,2; 0; 1,"(13437, 13437)",0,180566406,361.213434,1811.939328,0.007997455818112939(0.0),0.007992930090986193(0.0)
179,2; 1; 1,"(13437, 13437)",0,180566406,361.213434,1453.326336,0.02388238504063338(0.0),0.023905934679787605(0.0)
180,2; 0; 1,"(13509, 13509)",0,182506590,365.094234,1832.910848,0.008081247499212622(0.0),0.008077279720455409(0.0)
181,2; 1; 1,"(13509, 13509)",0,182506590,365.094234,1470.103552,0.02195795362815261(0.0),0.021958897800650447(0.0)
182,2; 0; 1,"(13581, 13581)",0,184457142,368.99577,1845.49376,0.008177227319683879(0.0),0.00817691545933485(0.0)
183,2; 1; 1,"(13581, 13581)",0,184457142,368.99577,1478.49216,0.025131828268058598(0.0),0.025145354180131106(0.0)
184,2; 0; 1,"(13652, 13652)",0,186390756,372.863424,1864.368128,0.008181488569825889(0.0),0.008181476581376046(0.0)
185,2; 1; 1,"(13652, 13652)",0,186390756,372.863424,1495.269376,0.022888937620446085(0.0),0.0228966305591166(0.0)
186,2; 0; 1,"(13723, 13723)",0,188334452,376.751242,1885.339648,0.00835202171932906(0.0),0.008349528938997536(0.0)
187,2; 1; 1,"(13723, 13723)",0,188334452,376.751242,1512.046592,0.022654247879981996(0.0),0.022690916319843383(0.0)
188,2; 0; 1,"(13794, 13794)",0,190288230,380.659224,1906.311168,0.008398893680423498(0.0),0.00838121484965086(0.0)
189,2; 1; 1,"(13794, 13794)",0,190288230,380.659224,1528.823808,0.01696753754047677(0.0),0.017017073740717023(0.0)
190,2; 0; 1,"(13864, 13864)",0,192224360,384.531904,1927.282688,0.008362110131420195(0.0),0.00835786510957405(0.0)
191,2; 1; 1,"(13864, 13864)",0,192224360,384.531904,1545.601024,0.022881384300999345(0.0),0.022889430378563703(0.0)
192,2; 0; 1,"(13934, 13934)",0,194170290,388.424184,1948.254208,0.008559527141042054(0.0),0.008556270499248057(0.0)
193,2; 1; 1,"(13934, 13934)",0,194170290,388.424184,1562.37824,0.02227925644023344(0.0),0.022275217159185557(0.0)
194,2; 0; 1,"(14003, 14003)",0,196098012,392.280042,1969.225728,0.00879601423861459(0.0),0.008797230569180102(0.0)
195,2; 1; 1,"(14003, 14003)",0,196098012,392.280042,1579.155456,0.023269336170051245(0.0),0.02325928351143375(0.0)
196,2; 0; 1,"(14073, 14073)",0,198063402,396.211242,1981.80864,0.008890124538447708(0.0),0.008888207138516008(0.0)
197,2; 1; 1,"(14073, 14073)",0,198063402,396.211242,1587.544064,0.02225364265963435(0.0),0.02222508868901059(0.0)
198,2; 0; 1,"(14142, 14142)",0,200010306,400.105464,2000.683008,0.008813739810138941(0.0),0.008807263290509581(0.0)
199,2; 1; 1,"(14142, 14142)",0,200010306,400.105464,1604.32128,0.024697542660869657(0.0),0.024643274669069796(0.0)
