,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
218,2; 0; 4,"(7745, 7745)",0,59986961,119.985538,155.189248,0.00017172830062918366(0.0)
219,2; 0; 8,"(7745, 7745)",0,59985993,119.977794,140.509184,8.289766032248735e-05(0.0)
220,2; 1; 1,"(7745, 7745)",0,59992770,120.03201,245.366784,0.0007985413901042193(0.0)
221,2; 1; 2,"(7745, 7745)",0,59988897,120.001026,184.549376,0.00038163833087310193(0.0)
222,2; 1; 4,"(7745, 7745)",0,59986961,119.985538,155.189248,0.00021784226992167534(0.0)
223,2; 1; 8,"(7745, 7745)",0,59985993,119.977794,140.509184,0.00013948185020126402(0.0)
224,2; 0; 1,"(7870, 7870)",0,61944770,123.93676,253.755392,0.0006899206794332713(0.0)
225,2; 0; 2,"(7870, 7870)",0,61940835,123.90528,190.840832,0.00034779308014549316(0.0)
226,2; 0; 4,"(7870, 7870)",0,61938867,123.889536,159.383552,0.00017704432015307246(0.0)
227,2; 0; 8,"(7870, 7870)",0,61937883,123.881664,144.703488,8.684279979206621e-05(0.0)
228,2; 1; 1,"(7870, 7870)",0,61944770,123.93676,253.755392,0.0008211489010136574(0.0)
229,2; 1; 2,"(7870, 7870)",0,61940835,123.90528,190.840832,0.00041280334000475704(0.0)
230,2; 1; 4,"(7870, 7870)",0,61938867,123.889536,159.383552,0.00022347428952343762(0.0)
231,2; 1; 8,"(7870, 7870)",0,61937883,123.881664,144.703488,0.00017379409051500262(0.0)
232,2; 0; 1,"(7993, 7993)",0,63896042,127.840042,257.949696,0.0007091871707234532(0.0)
233,2; 0; 2,"(7993, 7993)",0,63892045,127.808066,195.035136,0.00035819006036035716(0.0)
234,2; 0; 4,"(7993, 7993)",0,63890047,127.792082,163.577856,0.00018185448017902673(0.0)
235,2; 0; 8,"(7993, 7993)",0,63889048,127.78409,146.80064,9.010934969410301e-05(0.0)
236,2; 1; 1,"(7993, 7993)",0,63896042,127.840042,257.949696,0.000841786969685927(0.0)
237,2; 1; 2,"(7993, 7993)",0,63892045,127.808066,195.035136,0.00042167486040852966(0.0)
238,2; 1; 4,"(7993, 7993)",0,63890047,127.792082,163.577856,0.00023180657997727395(0.0)
239,2; 1; 8,"(7993, 7993)",0,63889048,127.78409,146.80064,0.0001426616497337818(0.0)
240,2; 0; 1,"(8113, 8113)",0,65828882,131.706442,266.338304,0.0007292784401215612(0.0)
241,2; 0; 2,"(8113, 8113)",0,65824825,131.673986,201.326592,0.00036720334901474416(0.0)
242,2; 0; 4,"(8113, 8113)",0,65822797,131.657762,167.77216,0.00018699176027439535(0.0)
243,2; 0; 8,"(8113, 8113)",0,65821783,131.64965,150.994944,9.289720095694065e-05(0.0)
244,2; 1; 1,"(8113, 8113)",0,65828882,131.706442,266.338304,0.0008848100400064141(0.0)
245,2; 1; 2,"(8113, 8113)",0,65824825,131.673986,201.326592,0.0004467381804715842(0.0)
246,2; 1; 4,"(8113, 8113)",0,65822797,131.657762,167.77216,0.00023706640000455083(0.0)
247,2; 1; 8,"(8113, 8113)",0,65821783,131.64965,150.994944,0.0001512994209770113(0.0)
248,2; 0; 1,"(8232, 8232)",0,67774056,135.597504,274.726912,0.0007479651493486017(0.0)
249,2; 0; 2,"(8232, 8232)",0,67769940,135.564576,207.618048,0.000376641929615289(0.0)
250,2; 0; 4,"(8232, 8232)",0,67767882,135.548112,174.063616,0.00019158401992172002(0.0)
251,2; 0; 8,"(8232, 8232)",0,67766853,135.53988,157.2864,9.654727997258305e-05(0.0)
252,2; 1; 1,"(8232, 8232)",0,67774056,135.597504,274.726912,0.0008836516609881073(0.0)
253,2; 1; 2,"(8232, 8232)",0,67769940,135.564576,207.618048,0.0004559121502097696(0.0)
254,2; 1; 4,"(8232, 8232)",0,67767882,135.548112,174.063616,0.00024709037970751526(0.0)
255,2; 1; 8,"(8232, 8232)",0,67766853,135.53988,157.2864,0.00017832524026744067(0.0)
256,2; 0; 1,"(8349, 8349)",0,69714150,139.478394,283.11552,0.0007694011402782052(0.0)
257,2; 0; 2,"(8349, 8349)",0,69709975,139.444994,213.909504,0.00038913776981644335(0.0)
258,2; 0; 4,"(8349, 8349)",0,69707888,139.428298,178.25792,0.00019694722024723887(0.0)
259,2; 0; 8,"(8349, 8349)",0,69706844,139.419946,161.480704,9.942920994944871e-05(0.0)
260,2; 1; 1,"(8349, 8349)",0,69714150,139.478394,283.11552,0.0009371385304257273(0.0)
261,2; 1; 2,"(8349, 8349)",0,69709975,139.444994,213.909504,0.0004790246102493256(0.0)
262,2; 1; 4,"(8349, 8349)",0,69707888,139.428298,178.25792,0.000274627860635519(0.0)
263,2; 1; 8,"(8349, 8349)",0,69706844,139.419946,161.480704,0.00016737180994823574(0.0)
264,2; 0; 1,"(8465, 8465)",0,71664690,143.38017,291.504128,0.000790535049745813(0.0)
265,2; 0; 2,"(8465, 8465)",0,71660457,143.346306,220.20096,0.0003983701707329601(0.0)
