,Input dims,Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
166,2; 0,"(5811, 5811)",0,67535442,337.67721,408.94464,0.0019770546699874104(0.0)
167,2; 1,"(5811, 5811)",0,67535442,337.67721,408.94464,0.00034349326975643637(0.0)
168,2; 0,"(5845, 5845)",0,68328050,341.64025,413.138944,0.002017479899805039(0.0)
169,2; 1,"(5845, 5845)",0,68328050,341.64025,413.138944,0.0003476273000705987(0.0)
170,2; 0,"(5878, 5878)",0,69101768,345.50884,415.236096,0.002049300610087812(0.0)
171,2; 1,"(5878, 5878)",0,69101768,345.50884,415.236096,0.0003514160797931254(0.0)
172,2; 0,"(5911, 5911)",0,69879842,349.39921,423.624704,0.00207879783003591(0.0)
173,2; 1,"(5911, 5911)",0,69879842,349.39921,423.624704,0.000355441119754687(0.0)
174,2; 0,"(5944, 5944)",0,70662272,353.31136,425.721856,0.0021110722003504635(0.0)
175,2; 1,"(5944, 5944)",0,70662272,353.31136,425.721856,0.00035955270985141394(0.0)
176,2; 0,"(5976, 5976)",0,71425152,357.12576,434.110464,0.0021415441599674525(0.0)
177,2; 1,"(5976, 5976)",0,71425152,357.12576,434.110464,0.0003632478090003133(0.0)
178,2; 0,"(6009, 6009)",0,72216162,361.08081,436.207616,0.0021720892598386856(0.0)
179,2; 1,"(6009, 6009)",0,72216162,361.08081,436.207616,0.00036753454012796285(0.0)
180,2; 0,"(6041, 6041)",0,72987362,364.93681,440.40192,0.0021980665996670723(0.0)
181,2; 1,"(6041, 6041)",0,72987362,364.93681,440.40192,0.00037072608014568684(0.0)
182,2; 0,"(6073, 6073)",0,73762658,368.81329,446.693376,0.002238473080797121(0.0)
183,2; 1,"(6073, 6073)",0,73762658,368.81329,446.693376,0.0003752701100893319(0.0)
184,2; 0,"(6105, 6105)",0,74542050,372.71025,450.88768,0.002271558799548075(0.0)
185,2; 1,"(6105, 6105)",0,74542050,372.71025,450.88768,0.00037938429974019525(0.0)
186,2; 0,"(6137, 6137)",0,75325538,376.62769,452.984832,0.0023027020203880964(0.0)
187,2; 1,"(6137, 6137)",0,75325538,376.62769,452.984832,0.0003838253207504749(0.0)
188,2; 0,"(6168, 6168)",0,76088448,380.44224,461.37344,0.00233521695015952(0.0)
189,2; 1,"(6168, 6168)",0,76088448,380.44224,461.37344,0.00038753635017201303(0.0)
190,2; 0,"(6200, 6200)",0,76880000,384.4,463.470592,0.0023649596399627627(0.0)
191,2; 1,"(6200, 6200)",0,76880000,384.4,463.470592,0.0003916072705760598(0.0)
192,2; 0,"(6231, 6231)",0,77650722,388.25361,471.8592,0.0024024208390619607(0.0)
193,2; 1,"(6231, 6231)",0,77650722,388.25361,471.8592,0.0003958347800653428(0.0)
194,2; 0,"(6262, 6262)",0,78425288,392.12644,473.956352,0.002429478330304846(0.0)
195,2; 1,"(6262, 6262)",0,78425288,392.12644,473.956352,0.0003989416698459536(0.0)
196,2; 0,"(6293, 6293)",0,79203698,396.01849,478.150656,0.0024653772800229488(0.0)
197,2; 1,"(6293, 6293)",0,79203698,396.01849,478.150656,0.0004037104093004018(0.0)
198,2; 0,"(6324, 6324)",0,79985952,399.92976,484.442112,0.002492618109099567(0.0)
199,2; 1,"(6324, 6324)",0,79985952,399.92976,484.442112,0.0004076346498914063(0.0)
